name,description,category,players,complexity
Catan,"In Catan, players try to be the dominant force on the island of Catan by building settlements, cities, and roads. Players collect resources (wood, brick, grain, sheep, or stone) to build structures, and gain victory points for doing so. The first player to 10 victory points wins.",Strategy,3,3
Ticket to Ride,"Ticket to Ride is a cross-country train adventure in which players collect and play matching train cards to claim railway routes connecting cities throughout North America. The longer the routes, the more points they earn. Additional points come to those who can fulfill their Destination Tickets by connecting two distant cities, and to.",Family,5,2
Pandemic,"Pandemic is a cooperative game in which players work together to stop the spread of deadly diseases around the world. Each player takes on a unique role with special abilities, and together they must travel the globe, treat infections, and develop a cure before time runs out.",Cooperative,2,3
Scrabble,"In Scrabble, players take turns creating words on a game board using letter tiles. Each letter has a point value, and players earn points based on the length and complexity of their words. The player with the highest score at the end of the game wins.",Word,4,2
Monopoly,"In Monopoly, players roll dice to move around a board, buying and trading properties, collecting rent, and trying to become the richest player in the game. Players can also land on special spaces that offer bonuses or penalties.",Family,2-8,2
Risk,"Risk is a classic strategy game in which players take turns trying to conquer territories and eliminate their opponents. Players must use tactics and strategy to build armies, make alliances, and ultimately dominate the world.",Strategy,2-6,4
Codenames,"Codenames is a word game in which players work in teams to identify words related to a specific theme. Players take turns giving one-word clues that can point to multiple words on the board, while their teammates try to guess the correct words.",Party,2-8,1
Settlers of the Stone Age,"In Settlers of the Stone Age, players build and develop a prehistoric civilization by collecting resources, trading with other players, and building structures. The game features unique mechanics that simulate the challenges and opportunities of life in ancient times.",Strategy,3,4
Ticket to Ride: Europe,"Ticket to Ride: Europe is a standalone board game that expands on the original Ticket to Ride game. Players collect train cards and claim routes across a map of Europe, competing to connect cities and score points.",Family,3,2
Splendor,"Splendor is a strategy game in which players compete to build the most impressive gemstone collection. Players must acquire resources, trade with other players, and invest in mines to gain prestige and earn victory points.",Strategy,3,2
Gloomhaven,"Gloomhaven is a massive cooperative dungeon-crawler with legacy elements. Players take on the role of adventurers, exploring a world full of dangers and discovering new places, characters, and treasures as they progress through the game.",Cooperative,3,4
Azul,"In Azul, players take turns drafting colored tiles from a central market to complete their own personal game board. Points are scored based on how players place their tiles to create patterns and complete rows and columns.",Abstract,3,2

